('二团', '怀恋翻车鱼', '术士', '头部', '复仇骨帽', '16929', '+8 法术强度', '2020-22')
('四团', '传奇猎神', '猎人', '背部', '奥妮克希亚鳞片披风', '15138', '', '2020-22')
('四团', '传奇猎神', '猎人', '主手武器', '残忍利刃', '18832', '+15 敏捷', '2020-22')
('四团', '传奇猎神', '猎人', '副手', '刺杀之刃', '13036', '', '2020-22')
('四团', '传奇猎神', '猎人', '远程', '伦鲁迪洛尔，上古守护者的长弓', '18713', '瞄准镜（+7 伤害）', '2020-22')
('四团', '赤麟小五花', '术士', '头部', '复仇骨帽', '16929', '+8 法术强度', '2020-22')
('四团', '赤麟小五花', '术士', '颈部', '火焰之王的项圈', '18814', '', '2020-22')
('四团', '赤麟小五花', '术士', '肩部', '复仇肩铠', '16932', '', '2020-22')
('四团', '赤麟小五花', '术士', '衬衣', '杉德尔船长的衬衣', '3342', '', '2020-22')
('四团', '赤麟小五花', '术士', '胸部', '复仇法袍', '16931', '+3 所有属性', '2020-22')
('四团', '赤麟小五花', '术士', '腰部', '复仇腰带', '16933', '', '2020-22')
('四团', '赤麟小五花', '术士', '腿部', '复仇护腿', '16930', '+8 法术强度', '2020-22')
('四团', '赤麟小五花', '术士', '脚', '血藤长靴', '19684', '+7 耐力', '2020-22')
('四团', '赤麟小五花', '术士', '腕部', '复仇护腕', '16934', '+7 智力', '2020-22')
('四团', '赤麟小五花', '术士', '手', '恶魔布手套', '18407', '+5 草药学', '2020-22')
('四团', '赤麟小五花', '术士', '手指', '法术能量之戒', '19147', '', '2020-22')
('四团', '赤麟小五花', '术士', '手指', '黑暗统御指环', '19434', '', '2020-22')
('四团', '赤麟小五花', '术士', '饰品', '赞达拉英雄护符', '19950', '', '2020-22')
('四团', '赤麟小五花', '术士', '饰品', '石楠之环', '12930', '', '2020-22')
('四团', '赤麟小五花', '术士', '背部', '龙王披风', '19378', '+70 护甲', '2020-22')
('四团', '赤麟小五花', '术士', '背部', '奥妮克希亚鳞片披风', '15138', '+5 所有抗性', '2020-22')
('四团', '赤麟小五花', '术士', '主手武器', '克洛玛古斯之爪', '19347', '+30 法术强度', '2020-22')
('四团', '赤麟小五花', '术士', '副手', '金度的厄运袋', '19891', '', '2020-22')
('四团', '赤麟小五花', '术士', '远程', '噬骨铁针', '13938', '', '2020-22')
('四团', '纭歌', '法师', '头部', '灵风头冠', '16914', '+18 法术强度，+8 爆击', '2020-22')
('四团', '纭歌', '法师', '颈部', '奥术水晶坠饰', '20037', '', '2020-22')
('四团', '纭歌', '法师', '肩部', '灵风衬肩', '16917', '', '2020-22')
('四团', '纭歌', '法师', '胸部', '大法师之袍', '14152', '+3 所有属性', '2020-22')
('四团', '纭歌', '法师', '胸部', '灵风长袍', '16916', '', '2020-22')
('四团', '纭歌', '法师', '腰部', '燃魔腰带', '19136', '', '2020-22')
('四团', '纭歌', '法师', '腰部', '灵风腰带', '16818', '', '2020-22')
('四团', '纭歌', '法师', '腿部', '灵风短裤', '16915', '+18 法术强度，+8 爆击', '2020-22')
('四团', '纭歌', '法师', '脚', '全法长靴', '11822', '加速略微提升', '2020-22')
('四团', '纭歌', '法师', '脚', '灵风长靴', '16912', '', '2020-22')
('四团', '纭歌', '法师', '腕部', '灵风束腕', '16918', '', '2020-22')
('四团', '纭歌', '法师', '手', '灵风手套', '16913', '+5 采矿', '2020-22')
('四团', '纭歌', '法师', '手指', '惩戒指环', '22721', '', '2020-22')
('四团', '纭歌', '法师', '手指', '处女之戒', '13001', '', '2020-22')
('四团', '纭歌', '法师', '饰品', '赞达拉英雄护符', '19950', '', '2020-22')
('四团', '纭歌', '法师', '饰品', '石楠之环', '12930', '', '2020-22')
('四团', '纭歌', '法师', '饰品', '思维加速宝石', '19339', '', '2020-22')
('四团', '纭歌', '法师', '背部', '吞噬披风', '19857', '', '2020-22')
('四团', '纭歌', '法师', '背部', '奥妮克希亚鳞片披风', '15138', '', '2020-22')
('四团', '纭歌', '法师', '主手武器', '碧空之歌', '17103', '+30 法术强度', '2020-22')
('四团', '纭歌', '法师', '副手', '冰雪之王宝典', '19310', '', '2020-22')
('四团', '纭歌', '法师', '副手', '塞拉赞恩之触', '19315', '', '2020-22')
('四团', '纭歌', '法师', '远程', '混乱之触', '19861', '', '2020-22')
('四团', '軒龍', '战士', '头部', '狮心头盔', '12640', '+10 急速', '2020-22')
('四团', '軒龍', '战士', '头部', '黑铁头盔', '19148', '+12 躲闪', '2020-22')
('四团', '軒龍', '战士', '头部', '愤怒头盔', '16963', '+10 躲闪，+10 耐力，+10 招架', '2020-22')
('四团', '軒龍', '战士', '颈部', '屠龙大师勋章', '19383', '', '2020-22')
('四团', '軒龍', '战士', '颈部', '龙火护符', '16309', '', '2020-22')
('四团', '軒龍', '战士', '肩部', '愤怒肩铠', '16961', '+15 攻击强度', '2020-22')
('四团', '軒龍', '战士', '肩部', '火焰卫士护肩', '19139', '+5 火焰抗性', '2020-22')
('四团', '軒龍', '战士', '衬衣', '紫色丝质衬衣', '4335', '', '2020-22')
('四团', '軒龍', '战士', '胸部', '野蛮角斗士链甲', '11726', '+4 所有属性', '2020-22')
('四团', '軒龍', '战士', '胸部', '愤怒胸甲', '16966', '+100 生命值', '2020-22')
('四团', '軒龍', '战士', '腰部', '愤怒腰带', '16960', '', '2020-22')
('四团', '軒龍', '战士', '腰部', '炽热链甲束带', '16989', '', '2020-22')
('四团', '軒龍', '战士', '腿部', '愤怒腿铠', '16962', '+10 躲闪，+10 耐力，+10 招架', '2020-22')
('四团', '軒龍', '战士', '腿部', '黑铁护腿', '17013', '+5 躲闪', '2020-22')
('四团', '軒龍', '战士', '脚', '愤怒马靴', '16965', '+7 耐力', '2020-22')
('四团', '軒龍', '战士', '脚', '熔火胫甲', '18806', '+7 耐力', '2020-22')
('四团', '軒龍', '战士', '腕部', '稳固护腕', '19146', '+9 力量', '2020-22')
('四团', '軒龍', '战士', '腕部', '黑铁护腕', '17014', '+9 耐力', '2020-22')
('四团', '軒龍', '战士', '腕部', '愤怒护腕', '16959', '+9 耐力', '2020-22')
('四团', '軒龍', '战士', '手', '愤怒护手', '16964', '+7 力量', '2020-22')
('四团', '軒龍', '战士', '手', '力量护手', '16863', '+7 力量', '2020-22')
('四团', '軒龍', '战士', '手指', '埃古雷亚指环', '17063', '', '2020-22')
('四团', '軒龍', '战士', '手指', '胡里奥指环', '19325', '', '2020-22')
('四团', '軒龍', '战士', '手指', '海洋之风', '18399', '', '2020-22')
('四团', '軒龍', '战士', '饰品', '生命宝石', '19341', '', '2020-22')
('四团', '軒龍', '战士', '饰品', '奥妮克希亚龙血护符', '18406', '', '2020-22')
('四团', '軒龍', '战士', '饰品', '斯泰林的甲虫壳', '19431', '', '2020-22')
('四团', '軒龍', '战士', '饰品', '闪耀徽章', '2802', '', '2020-22')
('四团', '軒龍', '战士', '背部', '飞龙披风', '19436', '+3 敏捷', '2020-22')
('四团', '軒龍', '战士', '背部', '奥妮克希亚鳞片披风', '15138', '+7 火焰抗性', '2020-22')
('四团', '軒龍', '战士', '背部', '龙血斗篷', '17107', '+5 所有抗性', '2020-22')
('四团', '軒龍', '战士', '主手武器', '雷霆之怒，逐风者的祝福之剑', '19019', '十字军', '2020-22')
('四团', '軒龍', '战士', '副手', '钻孔虫之碟', '17066', '+10 招架', '2020-22')
('四团', '軒龍', '战士', '副手', '龙人之盾', '12602', '+7 耐力', '2020-22')
('四团', '軒龍', '战士', '远程', '速射强弓', '17069', '瞄准镜（+7 伤害）', '2020-22')
('四团', '軒龍', '战士', '公会徽章', '公会徽章', '5976', '', '2020-22')
('四团', '烟儿', '牧师', '头部', '卓越之环', '16921', '+10 智力，+10 耐力，+10 全能', '2020-22')
('四团', '烟儿', '牧师', '颈部', '金度的邪眼', '19885', '', '2020-22')
('四团', '烟儿', '牧师', '肩部', '卓越肩铠', '16924', '+18 法术强度', '2020-22')
('四团', '烟儿', '牧师', '衬衣', '紫色丝质衬衣', '4335', '', '2020-22')
('四团', '烟儿', '牧师', '胸部', '信念外衣', '14154', '+3 所有属性', '2020-22')
('四团', '烟儿', '牧师', '腰部', '赞达拉忏悔者腰带', '19842', '', '2020-22')
('四团', '烟儿', '牧师', '腿部', '强能护腿', '19385', '+10 智力，+10 耐力，+10 全能', '2020-22')
('四团', '烟儿', '牧师', '脚', '预言之靴', '16811', '+5 全能', '2020-22')
('四团', '烟儿', '牧师', '腕部', '赞达拉忏悔者裹布', '19843', '+13 法术强度', '2020-22')
('四团', '烟儿', '牧师', '手', '卓越护手', '16920', '', '2020-22')
('四团', '烟儿', '牧师', '手指', '灼烧指环', '19140', '', '2020-22')
('四团', '烟儿', '牧师', '手指', '弗丁徽记之戒', '16058', '', '2020-22')
('四团', '烟儿', '牧师', '饰品', '埃雷萨拉斯皇家徽记', '18469', '', '2020-22')
('四团', '烟儿', '牧师', '饰品', '赞达拉英雄护符', '19950', '', '2020-22')
('四团', '烟儿', '牧师', '饰品', '恢复宝石', '19395', '', '2020-22')
('四团', '烟儿', '牧师', '背部', '野性之皮', '18510', '+5 所有抗性', '2020-22')
('四团', '烟儿', '牧师', '背部', '奥妮克希亚鳞片披风', '15138', '', '2020-22')
('四团', '烟儿', '牧师', '主手武器', '祈福', '18608', '+29 法术强度', '2020-22')
('四团', '烟儿', '牧师', '远程', '龙指', '15282', '', '2020-22')
('二团', 'Aquarium', '德鲁伊', '头部', '怒风头巾', '16900', '+10 智力，+10 耐力，+12 法术强度', '2020-22')
('二团', 'Aquarium', '德鲁伊', '颈部', '生命项链', '18723', '', '2020-22')
('二团', 'Aquarium', '德鲁伊', '肩部', '狂野肩铠', '18810', '', '2020-22')
('二团', 'Aquarium', '德鲁伊', '胸部', '怒风胸甲', '16897', '+100 法力值', '2020-22')
('二团', 'Aquarium', '德鲁伊', '腰部', '熔火犬皮腰带', '19162', '', '2020-22')
('二团', 'Aquarium', '德鲁伊', '腿部', '怒风腿甲', '16901', '+10 智力，+10 耐力，+12 法术强度', '2020-22')
('二团', 'Aquarium', '德鲁伊', '脚', '纯净思想长靴', '19437', '加速略微提升', '2020-22')
('二团', 'Aquarium', '德鲁伊', '腕部', '怒风护腕', '16904', '+13 法术强度', '2020-22')
('二团', 'Aquarium', '德鲁伊', '手', '怒风护手', '16899', '', '2020-22')
('二团', 'Aquarium', '德鲁伊', '手指', '灼烧指环', '19140', '', '2020-22')
('二团', 'Aquarium', '德鲁伊', '手指', '灼烧指环', '19140', '', '2020-22')
('二团', 'Aquarium', '德鲁伊', '饰品', '石楠之环', '12930', '', '2020-22')
('二团', 'Aquarium', '德鲁伊', '饰品', '埃雷萨拉斯皇家徽记', '18470', '', '2020-22')
('二团', 'Aquarium', '德鲁伊', '背部', '野性之皮', '18510', '+7 火焰抗性', '2020-22')
('二团', 'Aquarium', '德鲁伊', '背部', '奥妮克希亚鳞片披风', '15138', '+7 火焰抗性', '2020-22')
('二团', 'Aquarium', '德鲁伊', '主手武器', '洛卡米尔·伊洛曼希斯', '19360', '+29 法术强度', '2020-22')
('二团', 'Aquarium', '德鲁伊', '副手', '生命花环', '19312', '', '2020-22')
('二团', '嘘灬安静', '盗贼', '头部', '血牙头巾', '16908', '+8 敏捷', '2020-22')
('二团', '嘘灬安静', '盗贼', '颈部', '奥妮克希亚龙牙坠饰', '18404', '', '2020-22')
('二团', '嘘灬安静', '盗贼', '肩部', '夜幕杀手护肩', '16823', '', '2020-22')
('二团', '嘘灬安静', '盗贼', '衬衣', '优质布衬衣', '859', '', '2020-22')
('二团', '嘘灬安静', '盗贼', '胸部', '血牙胸甲', '16905', '+4 所有属性', '2020-22')
('二团', '嘘灬安静', '盗贼', '腰部', '血牙腰带', '16910', '', '2020-22')
('二团', '嘘灬安静', '盗贼', '腿部', '血牙短裤', '16909', '+8 敏捷', '2020-22')
('二团', '嘘灬安静', '盗贼', '脚', '暗影烈焰长靴', '19381', '+7 敏捷', '2020-22')
('二团', '嘘灬安静', '盗贼', '腕部', '原始蝙蝠皮护腕', '19687', '+9 力量', '2020-22')
('二团', '嘘灬安静', '盗贼', '手', '古代熔火皮手套', '18823', '+7 敏捷', '2020-22')
('二团', '嘘灬安静', '盗贼', '手指', '胡里奥指环', '19325', '', '2020-22')
('二团', '嘘灬安静', '盗贼', '手指', '屠龙大师之戒', '19384', '', '2020-22')
('二团', '嘘灬安静', '盗贼', '饰品', '正义之手', '11815', '', '2020-22')
('二团', '嘘灬安静', '盗贼', '饰品', '黑手饰物', '13965', '', '2020-22')
('二团', '嘘灬安静', '盗贼', '背部', '环雾披风', '17102', '+3 敏捷', '2020-22')
('二团', '嘘灬安静', '盗贼', '背部', '奥妮克希亚鳞片披风', '15138', '', '2020-22')
('二团', '嘘灬安静', '盗贼', '主手武器', '毁灭之刃', '18816', '+5 武器伤害', '2020-22')
('二团', '嘘灬安静', '盗贼', '副手', '熔火犬牙', '18805', '+15 敏捷', '2020-22')
('二团', '嘘灬安静', '盗贼', '远程', '速射强弓', '17069', '瞄准镜（+5 伤害）', '2020-22')
('二团', 'Qiaoqiao', '圣骑士', '头部', '审判头冠', '16955', '+8 法术强度', '2020-22')
('二团', 'Qiaoqiao', '圣骑士', '颈部', '生命项链', '18723', '', '2020-22')
('二团', 'Qiaoqiao', '圣骑士', '肩部', '狂野肩铠', '18810', '', '2020-22')
('二团', 'Qiaoqiao', '圣骑士', '衬衣', '侍从衬衣', '45', '', '2020-22')
('二团', 'Qiaoqiao', '圣骑士', '胸部', '波动长袍', '19145', '+3 所有属性', '2020-22')
('二团', 'Qiaoqiao', '圣骑士', '腰部', '熔火犬皮腰带', '19162', '', '2020-22')
('二团', 'Qiaoqiao', '圣骑士', '腿部', '强能护腿', '19385', '+8 法术强度', '2020-22')
('二团', 'Qiaoqiao', '圣骑士', '脚', '审判马靴', '16957', '', '2020-22')
('二团', 'Qiaoqiao', '圣骑士', '腕部', '近卫臂甲', '13969', '+13 法术强度', '2020-22')
('二团', 'Qiaoqiao', '圣骑士', '手', '审判护手', '16956', '', '2020-22')
('二团', 'Qiaoqiao', '圣骑士', '手指', '黑石之戒', '19397', '', '2020-22')
('二团', 'Qiaoqiao', '圣骑士', '手指', '屠龙者的徽记', '18403', '', '2020-22')
('二团', 'Qiaoqiao', '圣骑士', '饰品', '埃雷萨拉斯皇家徽记', '18472', '', '2020-22')
('二团', 'Qiaoqiao', '圣骑士', '饰品', '石楠之环', '12930', '', '2020-22')
('二团', 'Qiaoqiao', '圣骑士', '背部', '纯净思想斗篷', '19430', '', '2020-22')
('二团', 'Qiaoqiao', '圣骑士', '背部', '奥妮克希亚鳞片披风', '15138', '', '2020-22')
('二团', 'Qiaoqiao', '圣骑士', '主手武器', '光环石锤', '17105', '+29 法术强度', '2020-22')
('二团', 'Qiaoqiao', '圣骑士', '副手', '生命花环', '19312', '', '2020-22')
('二团', 'Qiaoqiao', '圣骑士', '公会徽章', '雷矛军服', '19032', '', '2020-22')
('二团', '浮云一别', '战士', '头部', '狮心头盔', '12640', '+10 急速', '2020-22')
('二团', '浮云一别', '战士', '头部', '毁灭王冠', '18817', '+20 火焰抗性', '2020-22')
('二团', '浮云一别', '战士', '颈部', '奥妮克希亚龙牙坠饰', '18404', '', '2020-22')
('二团', '浮云一别', '战士', '肩部', '龙爪肩铠', '19394', '+15 攻击强度', '2020-22')
('二团', '浮云一别', '战士', '肩部', '黑色龙鳞护肩', '15051', '+5 火焰抗性', '2020-22')
('二团', '浮云一别', '战士', '衬衣', '新兵衬衣', '6120', '', '2020-22')
('二团', '浮云一别', '战士', '胸部', '符文血甲', '19904', '', '2020-22')
('二团', '浮云一别', '战士', '胸部', '黑色龙鳞胸甲', '15050', '', '2020-22')
('二团', '浮云一别', '战士', '腰部', '冲击束带', '19137', '', '2020-22')
('二团', '浮云一别', '战士', '腿部', '堕落十字军腿甲', '19402', '+10 急速', '2020-22')
('二团', '浮云一别', '战士', '腿部', '黑色龙鳞护腿', '15052', '+20 火焰抗性', '2020-22')
('二团', '浮云一别', '战士', '脚', '血链战靴', '14616', '加速略微提升', '2020-22')
('二团', '浮云一别', '战士', '脚', '黑色龙鳞战靴', '16984', '', '2020-22')
('二团', '浮云一别', '战士', '腕部', '稳固护腕', '19146', '+9 力量', '2020-22')
('二团', '浮云一别', '战士', '手', '祭祀护手', '22714', '+10 急速', '2020-22')
('二团', '浮云一别', '战士', '手指', '迅击戒指', '18821', '', '2020-22')
('二团', '浮云一别', '战士', '手指', '胡里奥指环', '19325', '', '2020-22')
('二团', '浮云一别', '战士', '饰品', '黑手饰物', '13965', '', '2020-22')
('二团', '浮云一别', '战士', '饰品', '闪耀徽章', '2802', '', '2020-22')
('二团', '浮云一别', '战士', '饰品', '钻石水瓶', '20130', '', '2020-22')
('二团', '浮云一别', '战士', '饰品', '正义之手', '11815', '', '2020-22')
('二团', '浮云一别', '战士', '饰品', '钻石水瓶', '20130', '', '2020-22')
('二团', '浮云一别', '战士', '饰品', '闪耀徽章', '2802', '', '2020-22')
('二团', '浮云一别', '战士', '饰品', '黑手饰物', '13965', '', '2020-22')
('二团', '浮云一别', '战士', '背部', '部族之力', '22712', '', '2020-22')
('二团', '浮云一别', '战士', '背部', '奥妮克希亚鳞片披风', '15138', '', '2020-22')
('二团', '浮云一别', '战士', '主手武器', '死亡召唤者', '17068', '十字军', '2020-22')
('二团', '浮云一别', '战士', '副手', '末日之刃', '19362', '十字军', '2020-22')
('二团', '浮云一别', '战士', '远程', '速射强弓', '17069', '', '2020-22')
('二团', '浮云一别', '战士', '公会徽章', '列兵战袍', '15196', '', '2020-22')
('二团', '梦想启动', '猎人', '头部', '巨人追猎者头盔', '16846', '+24 远程攻击强度，+10 耐力，+1% 命中几率', '2020-22')
('二团', '梦想启动', '猎人', '颈部', '普瑞斯托的阴谋饰物', '19377', '', '2020-22')
('二团', '梦想启动', '猎人', '肩部', '巨人追猎者肩饰', '16848', '+15 攻击强度', '2020-22')
('二团', '梦想启动', '猎人', '胸部', '巨人追猎者胸甲', '16845', '+3 所有属性', '2020-22')
('二团', '梦想启动', '猎人', '腰部', '巨人追猎者腰带', '16851', '', '2020-22')
('二团', '梦想启动', '猎人', '腿部', '巨人追猎者护腿', '16847', '+24 远程攻击强度，+10 耐力，+1% 命中几率', '2020-22')
('二团', '梦想启动', '猎人', '脚', '巨人追猎者长靴', '16849', '+7 敏捷', '2020-22')
('二团', '梦想启动', '猎人', '腕部', '巨人追猎者护腕', '16850', '+9 耐力', '2020-22')
('二团', '梦想启动', '猎人', '手', '巨人追猎者手套', '16852', '+7 敏捷', '2020-22')
('二团', '梦想启动', '猎人', '手指', '胡里奥指环', '19325', '', '2020-22')
('二团', '梦想启动', '猎人', '手指', '黯淡的精灵戒指', '18500', '', '2020-22')
('二团', '梦想启动', '猎人', '饰品', '埃雷萨拉斯皇家徽记', '18473', '', '2020-22')
('二团', '梦想启动', '猎人', '饰品', '黑手饰物', '13965', '', '2020-22')
('二团', '梦想启动', '猎人', '背部', '环雾披风', '17102', '+3 敏捷', '2020-22')
('二团', '梦想启动', '猎人', '背部', '奥妮克希亚鳞片披风', '15138', '+70 护甲', '2020-22')
('二团', '梦想启动', '猎人', '主手武器', '斩骨手斧', '18737', '+15 敏捷', '2020-22')
('二团', '梦想启动', '猎人', '副手', '熔火犬牙', '18805', '+15 敏捷', '2020-22')
('二团', '梦想启动', '猎人', '远程', '埃瑟利苏尔，惩戒之弩', '19361', '+30 远程爆击', '2020-22')
('二团', '红模仿', '战士', '头部', '无尽怒气头盔', '19372', '+100 生命值', '2020-22')
('二团', '红模仿', '战士', '颈部', '艾斯卡达尔的项圈', '18205', '', '2020-22')
('二团', '红模仿', '战士', '肩部', '刺钢护肩', '20517', '', '2020-22')
('二团', '红模仿', '战士', '肩部', '黑色龙鳞护肩', '15051', '', '2020-22')
('二团', '红模仿', '战士', '衬衣', '红色亚麻衬衣', '2575', '', '2020-22')
('二团', '红模仿', '战士', '胸部', '野蛮角斗士链甲', '11726', '+4 所有属性', '2020-22')
('二团', '红模仿', '战士', '胸部', '黑色龙鳞胸甲', '15050', '+3 所有属性', '2020-22')
('二团', '红模仿', '战士', '腰部', '冲击束带', '19137', '', '2020-22')
('二团', '红模仿', '战士', '腿部', '怪异强化腿甲', '18380', '+100 生命值', '2020-22')
('二团', '红模仿', '战士', '腿部', '黑铁护腿', '17013', '+20 火焰抗性', '2020-22')
('二团', '红模仿', '战士', '脚', '愤怒马靴', '16965', '+7 耐力', '2020-22')
('二团', '红模仿', '战士', '脚', '黑色龙鳞战靴', '16984', '+7 耐力', '2020-22')
('二团', '红模仿', '战士', '腕部', '愤怒护腕', '16959', '+9 力量', '2020-22')
('二团', '红模仿', '战士', '腕部', '黑铁护腕', '17014', '+7 耐力', '2020-22')
('二团', '红模仿', '战士', '手', '力量护手', '16863', '+7 力量', '2020-22')
('二团', '红模仿', '战士', '手指', '埃古雷亚指环', '17063', '', '2020-22')
('二团', '红模仿', '战士', '手指', '胡里奥指环', '19325', '', '2020-22')
('二团', '红模仿', '战士', '饰品', '生命宝石', '19341', '', '2020-22')
('二团', '红模仿', '战士', '饰品', '黑手饰物', '13965', '', '2020-22')
('二团', '红模仿', '战士', '饰品', '奥妮克希亚龙血护符', '18406', '', '2020-22')
('二团', '红模仿', '战士', '背部', '龙血斗篷', '17107', '+70 护甲', '2020-22')
('二团', '红模仿', '战士', '背部', '奥妮克希亚鳞片披风', '15138', '+5 所有抗性', '2020-22')
('二团', '红模仿', '战士', '主手武器', '雷霆之怒，逐风者的祝福之剑', '19019', '十字军', '2020-22')
('二团', '红模仿', '战士', '副手', '哈卡莱战刃', '19866', '十字军', '2020-22')
('二团', '红模仿', '战士', '副手', '源质壁垒', '19349', '+7 耐力', '2020-22')
('二团', '红模仿', '战士', '远程', '龙息手持火炮', '19368', '', '2020-22')
('二团', '红模仿', '战士', '公会徽章', '公会徽章', '5976', '', '2020-22')
('二团', '上海一九四三', '法师', '头部', '密苏达尔，夺魂者的头饰', '19375', '+18 法术强度，+8 爆击', '2020-22')
('二团', '上海一九四三', '法师', '颈部', '火焰之王的项圈', '18814', '', '2020-22')
('二团', '上海一九四三', '法师', '肩部', '灵风衬肩', '16917', '+5 所有抗性', '2020-22')
('二团', '上海一九四三', '法师', '衬衣', '黑丝衬衣', '4333', '', '2020-22')
('二团', '上海一九四三', '法师', '胸部', '波动长袍', '19145', '+4 所有属性', '2020-22')
('二团', '上海一九四三', '法师', '腰部', '燃魔腰带', '19136', '', '2020-22')
('二团', '上海一九四三', '法师', '腿部', '灵风短裤', '16915', '+18 法术强度，+8 爆击', '2020-22')
('二团', '上海一九四三', '法师', '脚', '灵风长靴', '16912', '+5 全能', '2020-22')
('二团', '上海一九四三', '法师', '腕部', '奥术精准护腕', '19374', '+7 智力', '2020-22')
('二团', '上海一九四三', '法师', '手', '灵风手套', '16913', '+2% 坐骑速度', '2020-22')
('二团', '上海一九四三', '法师', '手指', '专注指环', '19403', '', '2020-22')
('二团', '上海一九四三', '法师', '手指', '屠龙者的徽记', '18403', '', '2020-22')
('二团', '上海一九四三', '法师', '饰品', '短暂能量护符', '18820', '', '2020-22')
('二团', '上海一九四三', '法师', '饰品', '奈萨里奥之泪', '19379', '', '2020-22')
('二团', '上海一九四三', '法师', '背部', '龙王披风', '19378', '+5 所有抗性', '2020-22')
('二团', '上海一九四三', '法师', '背部', '奥妮克希亚鳞片披风', '15138', '+5 所有抗性', '2020-22')
('二团', '上海一九四三', '法师', '主手武器', '统御法杖', '18842', '+30 法术强度', '2020-22')
('二团', '上海一九四三', '法师', '远程', '噬骨铁针', '13938', '', '2020-22')
('二团', '上海一九四三', '法师', '公会徽章', '雷矛军服', '19032', '', '2020-22')
('二团', '战無不胜', '战士', '头部', '狮心头盔', '12640', '+8 力量', '2020-22')
('二团', '战無不胜', '战士', '头部', '毁灭王冠', '18817', '+20 火焰抗性', '2020-22')
('二团', '战無不胜', '战士', '颈部', '奥妮克希亚龙牙坠饰', '18404', '', '2020-22')
('二团', '战無不胜', '战士', '颈部', '哈卡之眼', '19856', '', '2020-22')
('二团', '战無不胜', '战士', '肩部', '龙爪肩铠', '19394', '+15 攻击强度', '2020-22')
('二团', '战無不胜', '战士', '肩部', '黑色龙鳞护肩', '15051', '+5 火焰抗性', '2020-22')
('二团', '战無不胜', '战士', '衬衣', '侍僧衬衣', '6097', '', '2020-22')
('二团', '战無不胜', '战士', '胸部', '野蛮角斗士链甲', '11726', '+3 所有属性', '2020-22')
('二团', '战無不胜', '战士', '胸部', '玛法里奥的祝福', '19405', '', '2020-22')
('二团', '战無不胜', '战士', '胸部', '黑色龙鳞胸甲', '15050', '+100 生命值', '2020-22')
('二团', '战無不胜', '战士', '腰部', '冲击束带', '19137', '', '2020-22')
('二团', '战無不胜', '战士', '腿部', '堕落十字军腿甲', '19402', '+10 急速', '2020-22')
('二团', '战無不胜', '战士', '腿部', '浸血腿甲', '19855', '+8 力量', '2020-22')
('二团', '战無不胜', '战士', '腿部', '黑色龙鳞护腿', '15052', '+20 火焰抗性', '2020-22')
('二团', '战無不胜', '战士', '脚', '多彩长靴', '19387', '+7 敏捷', '2020-22')
('二团', '战無不胜', '战士', '脚', '黑色龙鳞战靴', '16984', '+7 敏捷', '2020-22')
('二团', '战無不胜', '战士', '腕部', '稳固护腕', '19146', '+9 力量', '2020-22')
('二团', '战無不胜', '战士', '腕部', '灰鳞护臂', '11764', '+9 耐力', '2020-22')
('二团', '战無不胜', '战士', '手', '烈焰守卫护手', '19143', '+10 急速', '2020-22')
('二团', '战無不胜', '战士', '手', '祭祀护手', '22714', '+7 力量', '2020-22')
('二团', '战無不胜', '战士', '手', '力量护手', '16863', '+7 力量', '2020-22')
('二团', '战無不胜', '战士', '手指', '屠龙大师之戒', '19384', '', '2020-22')
('二团', '战無不胜', '战士', '手指', '海洋之风', '18399', '', '2020-22')
('二团', '战無不胜', '战士', '手指', '迅击戒指', '18821', '', '2020-22')
('二团', '战無不胜', '战士', '手指', '屠龙大师之戒', '19384', '', '2020-22')
('二团', '战無不胜', '战士', '饰品', '黑手饰物', '13965', '', '2020-22')
('二团', '战無不胜', '战士', '饰品', '钻石水瓶', '20130', '', '2020-22')
('二团', '战無不胜', '战士', '饰品', '闪耀徽章', '2802', '', '2020-22')
('二团', '战無不胜', '战士', '饰品', '正义之手', '11815', '', '2020-22')
('二团', '战無不胜', '战士', '饰品', '黑手饰物', '13965', '', '2020-22')
('二团', '战無不胜', '战士', '饰品', '钻石水瓶', '20130', '', '2020-22')
('二团', '战無不胜', '战士', '背部', '黑爵士的斗篷', '13340', '+3 敏捷', '2020-22')
('二团', '战無不胜', '战士', '背部', '奥妮克希亚鳞片披风', '15138', '+7 火焰抗性', '2020-22')
('二团', '战無不胜', '战士', '主手武器', '残忍利刃', '18832', '十字军', '2020-22')
('二团', '战無不胜', '战士', '主手武器', '玛拉达斯，黑龙军团的符文之剑', '19351', '十字军', '2020-22')
('二团', '战無不胜', '战士', '副手', '玛拉达斯，黑龙军团的符文之剑', '19351', '十字军', '2020-22')
('二团', '战無不胜', '战士', '副手', '残忍利刃', '18832', '十字军', '2020-22')
('二团', '战無不胜', '战士', '副手', '上古角石魔典', '17067', '', '2020-22')
('二团', '战無不胜', '战士', '远程', '速射强弓', '17069', '', '2020-22')
('二团', '战無不胜', '战士', '公会徽章', '血色十字军战袍', '23192', '', '2020-22')
('二团', '姑苏小爷', '圣骑士', '头部', '审判头冠', '16955', '+10 躲闪，+10 耐力，+10 智力', '2020-22')
('二团', '姑苏小爷', '圣骑士', '颈部', '启示项链', '17109', '', '2020-22')
('二团', '姑苏小爷', '圣骑士', '肩部', '狂野肩铠', '18810', '', '2020-22')
