('二团', '血染胸毛', '盗贼', '头部', '血牙头巾', '16908', '+14 攻击强度，+12 躲闪', '2020-20')
('四团', '迷雾之形', '德鲁伊', '颈部', '金度的邪眼', '19885', '', '2020-20')
('四团', '迷雾之形', '德鲁伊', '肩部', '怒风肩甲', '16902', '', '2020-20')
('四团', '迷雾之形', '德鲁伊', '胸部', '怒风胸甲', '16897', '加固（+40 护甲）', '2020-20')
('四团', '迷雾之形', '德鲁伊', '腰部', '熔火犬皮腰带', '19162', '', '2020-20')
('四团', '迷雾之形', '德鲁伊', '腿部', '怒风腿甲', '16901', '+8 法术强度', '2020-20')
('四团', '迷雾之形', '德鲁伊', '脚', '怒风长靴', '16898', '加固（+40 护甲）', '2020-20')
('四团', '迷雾之形', '德鲁伊', '腕部', '繁荣护腕', '18525', '+13 法术强度', '2020-20')
('四团', '迷雾之形', '德鲁伊', '手', '怒风护手', '16899', '加固（+40 护甲）', '2020-20')
('四团', '迷雾之形', '德鲁伊', '手指', '首领指环', '19920', '', '2020-20')
('四团', '迷雾之形', '德鲁伊', '手指', '始祖徽记', '19863', '', '2020-20')
('四团', '迷雾之形', '德鲁伊', '饰品', '石楠之环', '12930', '', '2020-20')
('四团', '迷雾之形', '德鲁伊', '饰品', '埃雷萨拉斯皇家徽记', '18470', '', '2020-20')
('四团', '迷雾之形', '德鲁伊', '背部', '野性之皮', '18510', '+5 所有抗性', '2020-20')
('四团', '迷雾之形', '德鲁伊', '背部', '奥妮克希亚鳞片披风', '15138', '', '2020-20')
('四团', '迷雾之形', '德鲁伊', '主手武器', '洛卡米尔·伊洛曼希斯', '19360', '+29 法术强度', '2020-20')
('四团', '迷雾之形', '德鲁伊', '副手', '生命花环', '19312', '', '2020-20')
('四团', '迷雾之形', '德鲁伊', '远程', '埃根的冲击器', '13289', '', '2020-20')
('四团', '大灬大灬姐', '圣骑士', '头部', '祖利安头饰', '22720', '', '2020-20')
('四团', '大灬大灬姐', '圣骑士', '颈部', '金度的邪眼', '19885', '', '2020-20')
('四团', '大灬大灬姐', '圣骑士', '肩部', '狂野肩铠', '18810', '', '2020-20')
('四团', '大灬大灬姐', '圣骑士', '胸部', '尊贵法袍', '13346', '+100 法力值', '2020-20')
('四团', '大灬大灬姐', '圣骑士', '腰部', '熔火犬皮腰带', '19162', '', '2020-20')
('四团', '大灬大灬姐', '圣骑士', '腿部', '火蜥蜴鳞片短裤', '18875', '', '2020-20')
('四团', '大灬大灬姐', '圣骑士', '脚', '纯净思想长靴', '19437', '加速略微提升', '2020-20')
('四团', '大灬大灬姐', '圣骑士', '腕部', '近卫臂甲', '13969', '+13 法术强度', '2020-20')
('四团', '大灬大灬姐', '圣骑士', '手', '和平守护者护手', '20264', '', '2020-20')
('四团', '大灬大灬姐', '圣骑士', '手指', '弗丁徽记之戒', '16058', '', '2020-20')
('四团', '大灬大灬姐', '圣骑士', '手指', '铁炉堡歌唱石', '12543', '', '2020-20')
('四团', '大灬大灬姐', '圣骑士', '饰品', '恢复宝石', '19395', '', '2020-20')
('四团', '大灬大灬姐', '圣骑士', '饰品', '龙鳞碎片', '17064', '', '2020-20')
('四团', '大灬大灬姐', '圣骑士', '饰品', '盲目光芒卷轴', '19343', '', '2020-20')
('四团', '大灬大灬姐', '圣骑士', '饰品', '复苏之风', '11819', '', '2020-20')
('四团', '大灬大灬姐', '圣骑士', '背部', '纯净思想斗篷', '19430', '+5 所有抗性', '2020-20')
('四团', '大灬大灬姐', '圣骑士', '背部', '奥妮克希亚鳞片披风', '15138', '+5 所有抗性', '2020-20')
('四团', '大灬大灬姐', '圣骑士', '主手武器', '光环石锤', '17105', '+29 法术强度', '2020-20')
('四团', '大灬大灬姐', '圣骑士', '副手', '生命花环', '19312', '', '2020-20')
('四团', '軒龍', '战士', '头部', '愤怒头盔', '16963', '+10 躲闪，+10 耐力，+10 招架', '2020-20')
('四团', '軒龍', '战士', '头部', '黑铁头盔', '19148', '+12 躲闪', '2020-20')
('四团', '軒龍', '战士', '颈部', '屠龙大师勋章', '19383', '', '2020-20')
('四团', '軒龍', '战士', '颈部', '龙火护符', '16309', '', '2020-20')
('四团', '軒龍', '战士', '肩部', '愤怒肩铠', '16961', '+15 攻击强度', '2020-20')
('四团', '軒龍', '战士', '肩部', '火焰卫士护肩', '19139', '+5 火焰抗性', '2020-20')
('四团', '軒龍', '战士', '衬衣', '紫色丝质衬衣', '4335', '', '2020-20')
('四团', '軒龍', '战士', '胸部', '愤怒胸甲', '16966', '+100 生命值', '2020-20')
('四团', '軒龍', '战士', '腰部', '防腐徽记腰带', '20216', '', '2020-20')
('四团', '軒龍', '战士', '腰部', '炽热链甲束带', '16989', '', '2020-20')
('四团', '軒龍', '战士', '腰部', '愤怒腰带', '16960', '', '2020-20')
('四团', '軒龍', '战士', '腿部', '愤怒腿铠', '16962', '+10 躲闪，+10 耐力，+10 招架', '2020-20')
('四团', '軒龍', '战士', '腿部', '黑铁护腿', '17013', '+5 躲闪', '2020-20')
('四团', '軒龍', '战士', '脚', '愤怒马靴', '16965', '+7 耐力', '2020-20')
('四团', '軒龍', '战士', '脚', '熔火胫甲', '18806', '+7 耐力', '2020-20')
('四团', '軒龍', '战士', '腕部', '黑雾护臂', '12966', '', '2020-20')
('四团', '軒龍', '战士', '腕部', '黑铁护腕', '17014', '+9 耐力', '2020-20')
('四团', '軒龍', '战士', '腕部', '愤怒护腕', '16959', '+9 耐力', '2020-20')
('四团', '軒龍', '战士', '手', '愤怒护手', '16964', '+7 力量', '2020-20')
('四团', '軒龍', '战士', '手', '力量护手', '16863', '+7 力量', '2020-20')
('四团', '軒龍', '战士', '手指', '埃古雷亚指环', '17063', '', '2020-20')
('四团', '軒龍', '战士', '手指', '胡里奥指环', '19325', '', '2020-20')
('四团', '軒龍', '战士', '手指', '海洋之风', '18399', '', '2020-20')
('四团', '軒龍', '战士', '饰品', '生命宝石', '19341', '', '2020-20')
('四团', '軒龍', '战士', '饰品', '奥妮克希亚龙血护符', '18406', '', '2020-20')
('四团', '軒龍', '战士', '饰品', '斯泰林的甲虫壳', '19431', '', '2020-20')
('四团', '軒龍', '战士', '饰品', '闪耀徽章', '2802', '', '2020-20')
('四团', '軒龍', '战士', '背部', '龙血斗篷', '17107', '+5 所有抗性', '2020-20')
('四团', '軒龍', '战士', '背部', '奥妮克希亚鳞片披风', '15138', '+7 火焰抗性', '2020-20')
('四团', '軒龍', '战士', '主手武器', '雷霆之怒，逐风者的祝福之剑', '19019', '十字军', '2020-20')
('四团', '軒龍', '战士', '副手', '钻孔虫之碟', '17066', '+10 招架', '2020-20')
('四团', '軒龍', '战士', '副手', '龙人之盾', '12602', '+7 耐力', '2020-20')
('四团', '軒龍', '战士', '远程', '速射强弓', '17069', '瞄准镜（+7 伤害）', '2020-20')
('四团', '軒龍', '战士', '公会徽章', '公会徽章', '5976', '', '2020-20')
('四团', '兰豆豆', '猎人', '头部', '巨龙追猎者头盔', '16939', '+24 远程攻击强度，+10 耐力，+1% 命中几率', '2020-20')
('四团', '兰豆豆', '猎人', '颈部', '奥妮克希亚龙牙坠饰', '18404', '', '2020-20')
('四团', '兰豆豆', '猎人', '肩部', '巨人追猎者肩饰', '16848', '', '2020-20')
('四团', '兰豆豆', '猎人', '衬衣', '紫色丝质衬衣', '4335', '', '2020-20')
('四团', '兰豆豆', '猎人', '胸部', '巨人追猎者胸甲', '16845', '+3 所有属性', '2020-20')
('四团', '兰豆豆', '猎人', '腰部', '巨人追猎者腰带', '16851', '', '2020-20')
('四团', '兰豆豆', '猎人', '腿部', '巨龙追猎者腿甲', '16938', '+24 远程攻击强度，+10 耐力，+1% 命中几率', '2020-20')
('四团', '兰豆豆', '猎人', '脚', '巨人追猎者长靴', '16849', '+7 敏捷', '2020-20')
('四团', '兰豆豆', '猎人', '腕部', '真龙护腕', '18812', '+7 智力', '2020-20')
('四团', '兰豆豆', '猎人', '手', '巨龙追猎者护手', '16940', '+7 敏捷', '2020-20')
('四团', '兰豆豆', '猎人', '手指', '埃古雷亚指环', '17063', '', '2020-20')
('四团', '兰豆豆', '猎人', '手指', '胡里奥指环', '19325', '', '2020-20')
('四团', '兰豆豆', '猎人', '饰品', '埃雷萨拉斯皇家徽记', '18473', '', '2020-20')
('四团', '兰豆豆', '猎人', '饰品', '魔暴龙眼', '19991', '', '2020-20')
('四团', '兰豆豆', '猎人', '饰品', '黑手饰物', '13965', '', '2020-20')
('四团', '兰豆豆', '猎人', '背部', '黑爵士的斗篷', '13340', '+3 敏捷', '2020-20')
('四团', '兰豆豆', '猎人', '背部', '奥妮克希亚鳞片披风', '15138', '', '2020-20')
('四团', '兰豆豆', '猎人', '主手武器', '罗克迪洛尔，上古守护者的手杖', '18715', '+15 敏捷', '2020-20')
('四团', '兰豆豆', '猎人', '主手武器', '斩骨手斧', '18737', '+15 敏捷', '2020-20')
('四团', '兰豆豆', '猎人', '主手武器', '辛洛斯，诸界的毁灭者', '19854', '+15 敏捷', '2020-20')
('四团', '兰豆豆', '猎人', '副手', '斩骨手斧', '18737', '+15 敏捷', '2020-20')
('四团', '兰豆豆', '猎人', '远程', '伦鲁迪洛尔，上古守护者的长弓', '18713', '+30 远程爆击', '2020-20')
('四团', '兰豆豆', '猎人', '公会徽章', '列兵战袍', '15196', '', '2020-20')
('四团', '赤麟小五花', '术士', '头部', '复仇骨帽', '16929', '+8 法术强度', '2020-20')
('四团', '赤麟小五花', '术士', '颈部', '火焰之王的项圈', '18814', '', '2020-20')
('四团', '赤麟小五花', '术士', '肩部', '复仇肩铠', '16932', '', '2020-20')
('四团', '赤麟小五花', '术士', '衬衣', '杉德尔船长的衬衣', '3342', '', '2020-20')
('四团', '赤麟小五花', '术士', '胸部', '复仇法袍', '16931', '+3 所有属性', '2020-20')
('四团', '赤麟小五花', '术士', '腰部', '复仇腰带', '16933', '', '2020-20')
('四团', '赤麟小五花', '术士', '腿部', '复仇护腿', '16930', '+8 法术强度', '2020-20')
('四团', '赤麟小五花', '术士', '脚', '玛勒基的裹足', '18735', '+7 耐力', '2020-20')
('四团', '赤麟小五花', '术士', '腕部', '复仇护腕', '16934', '+7 智力', '2020-20')
('四团', '赤麟小五花', '术士', '手', '恶魔布手套', '18407', '+5 草药学', '2020-20')
('四团', '赤麟小五花', '术士', '手指', '法术能量之戒', '19147', '', '2020-20')
('四团', '赤麟小五花', '术士', '手指', '黑暗统御指环', '19434', '', '2020-20')
('四团', '赤麟小五花', '术士', '饰品', '比斯巨兽之眼', '13968', '', '2020-20')
('四团', '赤麟小五花', '术士', '饰品', '石楠之环', '12930', '', '2020-20')
('四团', '赤麟小五花', '术士', '背部', '萨菲隆斗篷', '17078', '+5 所有抗性', '2020-20')
('四团', '赤麟小五花', '术士', '背部', '奥妮克希亚鳞片披风', '15138', '+5 所有抗性', '2020-20')
('四团', '赤麟小五花', '术士', '主手武器', '克洛玛古斯之爪', '19347', '+30 法术强度', '2020-20')
('四团', '赤麟小五花', '术士', '副手', '金度的厄运袋', '19891', '', '2020-20')
('四团', '赤麟小五花', '术士', '远程', '噬骨铁针', '13938', '', '2020-20')
('四团', '肉肉的球球', '猎人', '头部', '巨龙追猎者头盔', '16939', '+24 远程攻击强度，+10 耐力，+1% 命中几率', '2020-20')
('四团', '肉肉的球球', '猎人', '颈部', '奥妮克希亚龙牙坠饰', '18404', '', '2020-20')
('四团', '肉肉的球球', '猎人', '肩部', '巨龙追猎者肩甲', '16937', '', '2020-20')
('四团', '肉肉的球球', '猎人', '衬衣', '皱褶捕兽者衬衣', '148', '', '2020-20')
('四团', '肉肉的球球', '猎人', '胸部', '巨龙追猎者胸甲', '16942', '+3 所有属性', '2020-20')
('四团', '肉肉的球球', '猎人', '腰部', '巨龙追猎者腰带', '16936', '', '2020-20')
('四团', '肉肉的球球', '猎人', '腿部', '巨龙追猎者腿甲', '16938', '+24 远程攻击强度，+10 耐力，+1% 命中几率', '2020-20')
('四团', '肉肉的球球', '猎人', '脚', '巨龙追猎者胫甲', '16941', '+7 敏捷', '2020-20')
('四团', '肉肉的球球', '猎人', '腕部', '巨龙追猎者护腕', '16935', '+9 耐力', '2020-20')
('四团', '肉肉的球球', '猎人', '手', '巨龙追猎者护手', '16940', '+7 敏捷', '2020-20')
('四团', '肉肉的球球', '猎人', '手指', '胡里奥指环', '19325', '', '2020-20')
('四团', '肉肉的球球', '猎人', '手指', '屠龙大师之戒', '19384', '', '2020-20')
('四团', '肉肉的球球', '猎人', '饰品', '埃雷萨拉斯皇家徽记', '18473', '', '2020-20')
('四团', '肉肉的球球', '猎人', '饰品', '黑手饰物', '13965', '', '2020-20')
('四团', '肉肉的球球', '猎人', '背部', '环雾披风', '17102', '+3 敏捷', '2020-20')
('四团', '肉肉的球球', '猎人', '背部', '奥妮克希亚鳞片披风', '15138', '', '2020-20')
('四团', '肉肉的球球', '猎人', '主手武器', '罗克迪洛尔，上古守护者的手杖', '18715', '+15 敏捷', '2020-20')
('四团', '肉肉的球球', '猎人', '远程', '伦鲁迪洛尔，上古守护者的长弓', '18713', '瞄准镜（+7 伤害）', '2020-20')
('四团', 'Halle', '术士', '头部', '密苏达尔，夺魂者的头饰', '19375', '', '2020-20')
('四团', 'Halle', '术士', '颈部', '启示项链', '17109', '', '2020-20')
('四团', 'Halle', '术士', '肩部', '葬礼披肩', '18681', '', '2020-20')
('四团', 'Halle', '术士', '胸部', '复仇法袍', '16931', '+4 所有属性', '2020-20')
('四团', 'Halle', '术士', '腰部', '复仇腰带', '16933', '', '2020-20')
('四团', 'Halle', '术士', '腿部', '光芒护腿', '19165', '+8 法术强度', '2020-20')
('四团', 'Halle', '术士', '脚', '复仇战靴', '16927', '+7 耐力', '2020-20')
('四团', 'Halle', '术士', '腕部', '奥术精准护腕', '19374', '+9 耐力', '2020-20')
('四团', 'Halle', '术士', '手', '复仇手套', '16928', '+2% 坐骑速度', '2020-20')
('四团', 'Halle', '术士', '手指', '专注指环', '19403', '', '2020-20')
('四团', 'Halle', '术士', '手指', '铁炉堡歌唱石', '12543', '', '2020-20')
('四团', 'Halle', '术士', '饰品', '短暂能量护符', '18820', '', '2020-20')
('四团', 'Halle', '术士', '饰品', '石楠之环', '12930', '', '2020-20')
('四团', 'Halle', '术士', '背部', '灵法斗篷', '11623', '+5 所有抗性', '2020-20')
('四团', 'Halle', '术士', '背部', '奥妮克希亚鳞片披风', '15138', '', '2020-20')
('四团', 'Halle', '术士', '主手武器', '碧空之歌', '17103', '+30 法术强度', '2020-20')
('四团', 'Halle', '术士', '副手', '暗影力量宝典', '19309', '', '2020-20')
('四团', 'Halle', '术士', '远程', '噬骨铁针', '13938', '', '2020-20')
('四团', '蛤子', '猎人', '头部', '毁灭王冠', '18817', '+8 敏捷', '2020-20')
('四团', '蛤子', '猎人', '颈部', '普瑞斯托的阴谋饰物', '19377', '', '2020-20')
('四团', '蛤子', '猎人', '肩部', '巨人追猎者肩饰', '16848', '+5 火焰抗性', '2020-20')
('四团', '蛤子', '猎人', '胸部', '巨人追猎者胸甲', '16845', '+3 所有属性', '2020-20')
('四团', '蛤子', '猎人', '腰部', '巨龙追猎者腰带', '16936', '', '2020-20')
('四团', '蛤子', '猎人', '腿部', '巨龙追猎者腿甲', '16938', '', '2020-20')
('四团', '蛤子', '猎人', '脚', '巨龙追猎者胫甲', '16941', '+7 敏捷', '2020-20')
('四团', '蛤子', '猎人', '腕部', '真龙护腕', '18812', '+9 耐力', '2020-20')
('四团', '蛤子', '猎人', '手', '巨人追猎者手套', '16852', '+7 敏捷', '2020-20')
('四团', '蛤子', '猎人', '手指', '胡里奥指环', '19325', '', '2020-20')
('四团', '蛤子', '猎人', '手指', '黯淡的精灵戒指', '18500', '', '2020-20')
('四团', '蛤子', '猎人', '饰品', '魔暴龙眼', '19991', '', '2020-20')
('四团', '蛤子', '猎人', '饰品', '埃雷萨拉斯皇家徽记', '18473', '', '2020-20')
('四团', '蛤子', '猎人', '饰品', '黑手饰物', '13965', '', '2020-20')
('四团', '蛤子', '猎人', '背部', '黑爵士的斗篷', '13340', '+3 敏捷', '2020-20')
('四团', '蛤子', '猎人', '背部', '奥妮克希亚鳞片披风', '15138', '', '2020-20')
('四团', '蛤子', '猎人', '主手武器', '罗克迪洛尔，上古守护者的手杖', '18715', '+15 敏捷', '2020-20')
('四团', '蛤子', '猎人', '远程', '埃瑟利苏尔，惩戒之弩', '19361', '瞄准镜（+7 伤害）', '2020-20')
('四团', '蛤子', '猎人', '公会徽章', '雷矛军服', '19032', '', '2020-20')
('四团', 'Fannyxl', '牧师', '头部', '卓越之环', '16921', '+8 智力', '2020-20')
('四团', 'Fannyxl', '牧师', '颈部', '生命项链', '18723', '', '2020-20')
('四团', 'Fannyxl', '牧师', '肩部', '卓越肩铠', '16924', '', '2020-20')
('四团', 'Fannyxl', '牧师', '衬衣', '紫色丝质衬衣', '4335', '', '2020-20')
('四团', 'Fannyxl', '牧师', '胸部', '信念外衣', '14154', '+4 所有属性', '2020-20')
('四团', 'Fannyxl', '牧师', '腰部', '卓越腰带', '16925', '', '2020-20')
('四团', 'Fannyxl', '牧师', '腿部', '预言短裤', '16814', '', '2020-20')
('四团', 'Fannyxl', '牧师', '脚', '纯净思想长靴', '19437', '加速略微提升', '2020-20')
('四团', 'Fannyxl', '牧师', '腕部', '预言臂甲', '16819', '+9 全能', '2020-20')
('四团', 'Fannyxl', '牧师', '手', '预言手套', '16812', '', '2020-20')
('四团', 'Fannyxl', '牧师', '手指', '灼烧指环', '19140', '', '2020-20')
('四团', 'Fannyxl', '牧师', '手指', '弗丁徽记之戒', '16058', '', '2020-20')
('四团', 'Fannyxl', '牧师', '饰品', '祝福珠串', '19990', '', '2020-20')
('四团', 'Fannyxl', '牧师', '饰品', '埃雷萨拉斯皇家徽记', '18469', '', '2020-20')
('四团', 'Fannyxl', '牧师', '背部', '野性之皮', '18510', '+5 所有抗性', '2020-20')
('四团', 'Fannyxl', '牧师', '背部', '奥妮克希亚鳞片披风', '15138', '', '2020-20')
('四团', 'Fannyxl', '牧师', '主手武器', '祈福', '18608', '+29 法术强度', '2020-20')
('四团', 'Fannyxl', '牧师', '远程', '精华收集者', '19435', '', '2020-20')
('四团', '猫猫头哎哟哟', '牧师', '头部', '卓越之环', '16921', '+10 智力，+10 耐力，+10 全能', '2020-20')
('四团', '猫猫头哎哟哟', '牧师', '颈部', '生命项链', '18723', '', '2020-20')
('四团', '猫猫头哎哟哟', '牧师', '肩部', '预言衬肩', '16816', '+5 火焰抗性', '2020-20')
('四团', '猫猫头哎哟哟', '牧师', '衬衣', '体面的白衬衣', '4334', '', '2020-20')
('四团', '猫猫头哎哟哟', '牧师', '胸部', '信念外衣', '14154', '+100 法力值', '2020-20')
('四团', '猫猫头哎哟哟', '牧师', '腰部', '火喉之握', '19400', '', '2020-20')
('四团', '猫猫头哎哟哟', '牧师', '腿部', '卓越护腿', '16922', '+150 法力值', '2020-20')
('四团', '猫猫头哎哟哟', '牧师', '脚', '卓越长靴', '16919', '加速略微提升', '2020-20')
('四团', '猫猫头哎哟哟', '牧师', '腕部', '预言臂甲', '16819', '+13 法术强度', '2020-20')
('四团', '猫猫头哎哟哟', '牧师', '手', '预言手套', '16812', '+2% 坐骑速度', '2020-20')
('四团', '猫猫头哎哟哟', '牧师', '手指', '灼烧指环', '19140', '', '2020-20')
('四团', '猫猫头哎哟哟', '牧师', '手指', '弗丁徽记之戒', '16058', '', '2020-20')
('四团', '猫猫头哎哟哟', '牧师', '饰品', '龙鳞碎片', '17064', '', '2020-20')
('四团', '猫猫头哎哟哟', '牧师', '饰品', '祝福珠串', '19990', '', '2020-20')
('四团', '猫猫头哎哟哟', '牧师', '饰品', '恢复宝石', '19395', '', '2020-20')
('四团', '猫猫头哎哟哟', '牧师', '背部', '野性之皮', '18510', '+5 所有抗性', '2020-20')
('四团', '猫猫头哎哟哟', '牧师', '背部', '奥妮克希亚鳞片披风', '15138', '+5 所有抗性', '2020-20')
('四团', '猫猫头哎哟哟', '牧师', '主手武器', '祈福', '18608', '+29 法术强度', '2020-20')
('四团', '猫猫头哎哟哟', '牧师', '远程', '赤红震荡者', '17077', '', '2020-20')
('二团', '医者仁芯', '牧师', '头部', '卓越之环', '16921', '+10 智力，+10 耐力，+10 全能', '2020-20')
('二团', '医者仁芯', '牧师', '颈部', '生命项链', '18723', '', '2020-20')
('二团', '医者仁芯', '牧师', '肩部', '卓越肩铠', '16924', '+18 法术强度', '2020-20')
('二团', '医者仁芯', '牧师', '胸部', '卓越法袍', '16923', '+100 法力值', '2020-20')
('二团', '医者仁芯', '牧师', '腰部', '卓越腰带', '16925', '', '2020-20')
('二团', '医者仁芯', '牧师', '腿部', '卓越护腿', '16922', '+10 智力，+10 耐力，+10 全能', '2020-20')
('二团', '医者仁芯', '牧师', '脚', '卓越长靴', '16919', '+5 全能', '2020-20')
('二团', '医者仁芯', '牧师', '腕部', '卓越束腕', '16926', '+13 法术强度', '2020-20')
('二团', '医者仁芯', '牧师', '手', '卓越护手', '16920', '+2% 坐骑速度', '2020-20')
('二团', '医者仁芯', '牧师', '手指', '弗丁徽记之戒', '16058', '', '2020-20')
('二团', '医者仁芯', '牧师', '手指', '灼烧指环', '19140', '', '2020-20')
('二团', '医者仁芯', '牧师', '饰品', '埃雷萨拉斯皇家徽记', '18469', '', '2020-20')
('二团', '医者仁芯', '牧师', '饰品', '赞达拉英雄护符', '19950', '', '2020-20')
('二团', '医者仁芯', '牧师', '背部', '野性之皮', '18510', '+5 所有抗性', '2020-20')
('二团', '医者仁芯', '牧师', '背部', '奥妮克希亚鳞片披风', '15138', '', '2020-20')
('二团', '医者仁芯', '牧师', '主手武器', '祈福', '18608', '+29 法术强度', '2020-20')
('二团', '医者仁芯', '牧师', '远程', '精华收集者', '19435', '', '2020-20')
('二团', '血染指尖', '战士', '头部', '狮心头盔', '12640', '+8 力量', '2020-20')
('二团', '血染指尖', '战士', '颈部', '奥妮克希亚龙牙坠饰', '18404', '', '2020-20')
('二团', '血染指尖', '战士', '肩部', '龙爪肩铠', '19394', '', '2020-20')
('二团', '血染指尖', '战士', '衬衣', '优质布衬衣', '859', '', '2020-20')
('二团', '血染指尖', '战士', '胸部', '野蛮角斗士链甲', '11726', '+3 所有属性', '2020-20')
('二团', '血染指尖', '战士', '腰部', '冲击束带', '19137', '', '2020-20')
('二团', '血染指尖', '战士', '腿部', '堕落十字军腿甲', '19402', '+8 力量', '2020-20')
('二团', '血染指尖', '战士', '脚', '多彩长靴', '19387', '+7 敏捷', '2020-20')
('二团', '血染指尖', '战士', '腕部', '稳固护腕', '19146', '+7 力量', '2020-20')
('二团', '血染指尖', '战士', '手', '剑师护手', '14551', '+5 力量', '2020-20')
('二团', '血染指尖', '战士', '手指', '迅击戒指', '18821', '', '2020-20')
('二团', '血染指尖', '战士', '手指', '胡里奥指环', '19325', '', '2020-20')
('二团', '血染指尖', '战士', '饰品', '钻石水瓶', '20130', '', '2020-20')
('二团', '血染指尖', '战士', '饰品', '正义之手', '11815', '', '2020-20')
('二团', '血染指尖', '战士', '饰品', '黑手饰物', '13965', '', '2020-20')
('二团', '血染指尖', '战士', '背部', '雷矛士兵披风', '19084', '', '2020-20')
('二团', '血染指尖', '战士', '背部', '奥妮克希亚鳞片披风', '15138', '', '2020-20')
('二团', '血染指尖', '战士', '主手武器', '死亡召唤者', '17068', '十字军', '2020-20')
('二团', '血染指尖', '战士', '副手', '末日之刃', '19362', '十字军', '2020-20')
('二团', '血染指尖', '战士', '远程', '萨特强弓', '18323', '', '2020-20')
('二团', '丨青花瓷丨', '德鲁伊', '头部', '弗洛尔的眼罩', '19945', '', '2020-20')
('二团', '丨青花瓷丨', '德鲁伊', '头部', '浴血面具', '22718', '+10 智力，+10 耐力，+12 法术强度', '2020-20')
('二团', '丨青花瓷丨', '德鲁伊', '头部', '怒风头巾', '16900', '', '2020-20')
('二团', '丨青花瓷丨', '德鲁伊', '颈部', '奥妮克希亚龙牙坠饰', '18404', '', '2020-20')
('二团', '丨青花瓷丨', '德鲁伊', '颈部', '咆哮之牙', '13141', '', '2020-20')
('二团', '丨青花瓷丨', '德鲁伊', '肩部', '紧绷的龙皮护肩', '19389', '', '2020-20')
('二团', '丨青花瓷丨', '德鲁伊', '肩部', '塞纳里奥肩甲', '16836', '', '2020-20')
('二团', '丨青花瓷丨', '德鲁伊', '胸部', '玛法里奥的祝福', '19405', '+3 所有属性', '2020-20')
('二团', '丨青花瓷丨', '德鲁伊', '胸部', '尊贵法袍', '13346', '', '2020-20')
('二团', '丨青花瓷丨', '德鲁伊', '腰部', '紧绷的龙皮腰带', '19396', '', '2020-20')
('二团', '丨青花瓷丨', '德鲁伊', '腰部', '怒风腰带', '16903', '', '2020-20')
('二团', '丨青花瓷丨', '德鲁伊', '腿部', '浴血护腿', '19889', '', '2020-20')
('二团', '丨青花瓷丨', '德鲁伊', '腿部', '怒风腿甲', '16901', '', '2020-20')
('二团', '丨青花瓷丨', '德鲁伊', '脚', '浴血软鞋', '19906', '+7 敏捷', '2020-20')
('二团', '丨青花瓷丨', '德鲁伊', '脚', '塞纳里奥长靴', '16829', '', '2020-20')
('二团', '丨青花瓷丨', '德鲁伊', '腕部', '黑雾护臂', '12966', '+9 耐力', '2020-20')
('二团', '丨青花瓷丨', '德鲁伊', '腕部', '怒风护腕', '16904', '', '2020-20')
('二团', '丨青花瓷丨', '德鲁伊', '手', '浴血护手', '19869', '+7 敏捷', '2020-20')
('二团', '丨青花瓷丨', '德鲁伊', '手', '怒风护手', '16899', '', '2020-20')
('二团', '丨青花瓷丨', '德鲁伊', '手指', '埃古雷亚指环', '17063', '', '2020-20')
('二团', '丨青花瓷丨', '德鲁伊', '手指', '沉重的黑铁戒指', '18879', '', '2020-20')
('二团', '丨青花瓷丨', '德鲁伊', '饰品', '暴君印记', '13966', '', '2020-20')
('二团', '丨青花瓷丨', '德鲁伊', '饰品', '天选者印记', '17774', '', '2020-20')
('二团', '丨青花瓷丨', '德鲁伊', '饰品', '纯焰精华', '18815', '', '2020-20')
('二团', '丨青花瓷丨', '德鲁伊', '背部', '源质丝线披风', '19386', '+3 敏捷', '2020-20')
('二团', '丨青花瓷丨', '德鲁伊', '背部', '奥妮克希亚鳞片披风', '15138', '', '2020-20')
('二团', '丨青花瓷丨', '德鲁伊', '背部', '防火披风', '18811', '', '2020-20')
('二团', '丨青花瓷丨', '德鲁伊', '主手武器', '典狱官法杖', '943', '+15 敏捷', '2020-20')
('二团', '丨青花瓷丨', '德鲁伊', '主手武器', '祖利安典礼权杖', '22713', '', '2020-20')
('二团', '丨青花瓷丨', '德鲁伊', '副手', '上古角石魔典', '17067', '', '2020-20')
('二团', '丨青花瓷丨', '德鲁伊', '副手', '生命花环', '19312', '', '2020-20')
('二团', '信仰丿', '盗贼', '头部', '血牙头巾', '16908', '+10 急速', '2020-20')
('二团', '信仰丿', '盗贼', '颈部', '奥妮克希亚龙牙坠饰', '18404', '', '2020-20')
('二团', '信仰丿', '盗贼', '肩部', '血牙肩甲', '16832', '+5 火焰抗性', '2020-20')
('二团', '信仰丿', '盗贼', '胸部', '夜幕杀手胸甲', '16820', '+3 所有属性', '2020-20')
('二团', '信仰丿', '盗贼', '腰部', '血牙腰带', '16910', '', '2020-20')
('二团', '信仰丿', '盗贼', '腿部', '血牙短裤', '16909', '+10 急速', '2020-20')
('二团', '信仰丿', '盗贼', '脚', '夜幕杀手长靴', '16824', '+7 敏捷', '2020-20')
('二团', '信仰丿', '盗贼', '腕部', '夜幕杀手护腕', '16825', '+9 力量', '2020-20')
('二团', '信仰丿', '盗贼', '手', '夜幕杀手手套', '16826', '+7 敏捷', '2020-20')
('二团', '信仰丿', '盗贼', '手指', '胡里奥指环', '19325', '', '2020-20')
